TICKER;PER;DATE;TIME;OPEN;HIGH;LOW;CLOSE;VOL
ROSN;D;20151201;000000;266.3500000;268.1000000;261.8500000;264.7000000;4739960
ROSN;D;20151202;000000;264.7000000;265.7500000;256.0000000;258.5000000;6347400
ROSN;D;20151203;000000;258.0000000;259.9000000;254.2500000;257.6000000;5207350
ROSN;D;20151204;000000;258.9500000;260.5000000;248.0500000;251.4500000;5589630
ROSN;D;20151207;000000;252.2000000;253.7500000;243.5000000;244.0000000;5976580
ROSN;D;20151208;000000;243.3500000;247.3500000;241.0500000;244.6500000;5301950
ROSN;D;20151209;000000;245.4500000;249.8500000;245.3000000;247.7000000;4018100
ROSN;D;20151210;000000;248.0000000;251.2000000;245.2000000;249.0000000;4107600
ROSN;D;20151211;000000;247.9000000;248.7500000;243.6500000;244.8500000;2263450
ROSN;D;20151214;000000;242.5500000;246.9500000;241.2500000;244.9000000;4560690
ROSN;D;20151215;000000;246.0000000;252.6500000;244.8500000;249.7000000;6543730
ROSN;D;20151216;000000;250.4000000;252.5500000;249.0000000;250.1000000;2520120
ROSN;D;20151217;000000;251.9000000;260.9500000;251.7500000;258.7000000;9096060
ROSN;D;20151218;000000;258.4500000;260.0000000;249.1000000;250.7500000;6426830
ROSN;D;20151221;000000;250.4500000;253.1500000;244.6500000;245.6000000;4049840
ROSN;D;20151222;000000;246.8500000;249.3500000;244.2000000;248.2000000;3304720
ROSN;D;20151223;000000;249.5000000;254.7000000;249.2500000;253.6500000;2966830
ROSN;D;20151224;000000;254.8000000;255.5000000;251.5000000;251.6000000;2715560
ROSN;D;20151225;000000;252.1000000;252.6500000;243.6500000;245.8000000;3790130
ROSN;D;20151228;000000;246.0000000;247.5500000;244.7000000;246.0000000;1871490
ROSN;D;20151229;000000;246.8000000;255.0000000;245.0500000;255.0000000;4705550
ROSN;D;20151230;000000;254.9000000;259.2500000;253.2500000;253.2500000;4013160
ROSN;D;20160104;000000;254.4000000;254.9000000;250.3500000;251.0000000;2463840
ROSN;D;20160105;000000;251.5500000;253.8000000;248.7500000;253.2000000;2444740
ROSN;D;20160106;000000;253.2000000;255.0000000;250.2500000;252.4000000;1964810
ROSN;D;20160111;000000;245.0000000;246.7500000;239.1500000;241.0500000;7838580
ROSN;D;20160112;000000;236.9500000;243.4000000;233.9000000;239.9000000;4731200
ROSN;D;20160113;000000;240.8000000;243.5000000;238.3000000;239.6000000;3972470
ROSN;D;20160114;000000;238.0000000;239.8500000;234.3000000;237.6500000;4019240
ROSN;D;20160115;000000;236.7500000;240.0000000;229.5000000;232.1000000;7233780
ROSN;D;20160118;000000;229.5000000;234.9000000;229.0500000;232.0000000;4383680
ROSN;D;20160119;000000;233.8500000;239.0500000;233.8500000;236.0500000;4617090
ROSN;D;20160120;000000;234.0000000;234.3500000;228.3000000;231.9000000;6081600
ROSN;D;20160121;000000;232.1000000;238.8000000;231.7500000;237.5000000;5050440
ROSN;D;20160122;000000;241.2500000;252.4000000;239.7000000;250.4000000;10115460
ROSN;D;20160125;000000;251.4500000;255.2000000;246.2500000;255.0000000;6754790
ROSN;D;20160126;000000;251.8500000;256.9000000;251.6500000;255.9000000;7377030
ROSN;D;20160127;000000;255.5000000;264.4000000;254.6000000;264.4000000;6259590
ROSN;D;20160128;000000;263.7000000;268.9000000;263.6000000;267.3500000;7946880
ROSN;D;20160129;000000;268.6000000;272.4500000;263.3500000;272.4500000;8072780
ROSN;D;20160201;000000;272.2500000;272.4500000;266.4000000;269.8000000;4342510
ROSN;D;20160202;000000;268.6500000;274.2000000;267.7500000;271.8000000;5147180
ROSN;D;20160203;000000;270.0500000;275.9500000;268.2000000;273.1000000;4375870
ROSN;D;20160204;000000;278.8000000;284.8500000;276.7500000;283.0000000;6060110
ROSN;D;20160205;000000;281.3500000;286.5000000;279.0500000;281.5500000;6853670
ROSN;D;20160208;000000;281.5500000;282.2000000;273.3000000;276.0500000;6343940
ROSN;D;20160209;000000;272.0500000;276.3500000;265.4500000;268.6000000;8107890
ROSN;D;20160210;000000;265.9000000;269.0000000;262.3000000;265.5000000;5808400
ROSN;D;20160211;000000;264.1500000;266.4000000;259.7000000;264.8500000;4288310
ROSN;D;20160212;000000;267.3500000;271.6500000;266.5500000;270.7000000;3828590
ROSN;D;20160215;000000;273.3500000;273.8000000;269.6000000;271.0000000;2862860
ROSN;D;20160216;000000;272.1000000;279.6500000;271.3000000;277.4000000;6872410
ROSN;D;20160217;000000;277.2000000;280.9500000;276.0500000;279.9000000;2822610
ROSN;D;20160218;000000;281.5000000;283.8500000;279.4000000;283.3500000;5003280
ROSN;D;20160219;000000;280.5000000;281.0500000;275.3000000;278.4000000;3327520
ROSN;D;20160220;000000;279.0000000;279.9000000;276.6500000;276.9500000;519680
